player,country,ipl_team,batting_style,age,debut
NM Coulter-Nile, AUSTRALIA, Various Teams, Right-HB, XXy, 2013-2019
NS Naik, INDIA, MI, Right-HB, XXy, 2008-2008
NT Ellis, NEW ZEALAND, KKR, Right-HB, XXy, 2009-2009
NV Ojha, INDIA, Various Teams, Left-HB, XXy, 2008-2015
Niraj Patel, INDIA, MI, Right-HB, XXy, 2008-2008
O Thomas, WEST INDIES, RR, Right-HB, XXy, 2015-2019
OA Shah, ENGLAND, DD/DC, Right-HB, XXy, 2008-2013
OC McCoy, WEST INDIES, SRH, Right-HB, XXy, 2020-2020
OF Smith, AUSTRALIA, RPS, Right-HB, XXy, 2017-2017
P Amarnath, INDIA, KXIP, Right-HB, XXy, 2008-2008
P Awana, INDIA, KXIP, Right-HB, XXy, 2012-2015
P Chopra, INDIA, KKR, Right-HB, XXy, 2008-2009
P Dogra, INDIA, Various Teams, Left-HB, XXy, 2008-2014
P Dubey, INDIA, RCB, Right-HB, XXy, 2019-2019
P Kumar, INDIA, RCB, Left-HB, XXy, 2008-2017
P Negi, INDIA, Various Teams, Left-HB, XXy, 2012-Present
P Parameswaran, INDIA, KKR, Left-HB, XXy, 2011-2012
P Prasanth, INDIA, RCB, Right-HB, XXy, 2008-2010
P Ray Barman, INDIA, RCB, Right-HB, XXy, 2019-2019
P Sahu, INDIA, RPS, Right-HB, XXy, 2016-2017
P Simran Singh, INDIA, KXIP, Right-HB, XXy, 2018-2020
P Suyal, INDIA, MI, Left-HB, XXy, 2011-2013
PA Patel, INDIA, Various Teams, Right-HB, XXy, 2008-2018
PA Reddy, INDIA, SRH, Right-HB, XXy, 2012-2013
PBB Rajapaksa, SRI LANKA, RCB, Left-HB, XXy, 2009-2009
PC Valthaty, INDIA, KXIP, Right-HB, XXy, 2011-2013
PD Collingwood, ENGLAND, DD/DC, Right-HB, XXy, 2010-2011
PH Solanki, INDIA, RCB, Right-HB, XXy, 2008-2008
PJ Cummins, AUSTRALIA, KKR, Right-HB, XXy, 2014-2015
PJ Sangwan, INDIA, DD/DC, Right-HB, XXy, 2008-2018
PK Garg, INDIA, KKR, Right-HB, XXy, 2008-2012
PM Sarvesh Kumar, INDIA, KXIP, Right-HB, XXy, 2008-2010
PN Mankad, INDIA, CSK, Right-HB, XXy, 2008-2008
PP Chawla, INDIA, Various Teams, Left-HB, XXy, 2008-Present
PP Ojha, INDIA, Various Teams, Right-HB, XXy, 2008-2015
PP Shaw, INDIA, DD/DC, Right-HB, XXy, 2018-Present
PR Shah, INDIA, RCB, Right-HB, XXy, 2008-2010
PSP Handscomb, AUSTRALIA, RPS, Right-HB, XXy, 2017-2017
PV Tambe, INDIA, RR, Right-HB, XXy, 2013-2015
PVD Chameera, SRI LANKA, RCB, Right-HB, XXy, 2021-Present
PWH de Silva, SRI LANKA, DD/DC, Right-HB, XXy, 2008-2010
Pankaj Singh, INDIA, Various Teams, Right-HB, XXy, 2008-2016
Parvez Rasool, INDIA, SRH, Right-HB, XXy, 2013-2016
Q de Kock, SOUTH AFRICA, Various Teams, Left-HB, XXy, 2013-Present
R Ashwin, INDIA, Various Teams, Right-HB, XXy, 2009-Present
R Bhatia, INDIA, Various Teams, Right-HB, XXy, 2008-2017
R Bishnoi, INDIA, KXIP, Right-HB, XXy, 2019-Present
R Dhawan, INDIA, Various Teams, Right-HB, XXy, 2008-2019
R Dravid, INDIA, RR, Right-HB, XXy, 2008-2013
R McLaren, SOUTH AFRICA, KXIP, Left-HB, XXy, 2009-2010
R Ninan, INDIA, KXIP, Right-HB, XXy, 2008-2009
R Parag, INDIA, RR, Right-HB, XXy, 2019-Present
R Powell, WEST INDIES, DD/DC, Right-HB, XXy, 2012-2019
R Rampaul, WEST INDIES, RCB, Right-HB, XXy, 2008-2014
R Sai Kishore, INDIA, CSK, Left-HB, XXy, 2018-Present
R Sanjay Yadav, INDIA, KKR, Left-HB, XXy, 2020-2020
R Sathish, INDIA, Various Teams, Right-HB, XXy, 2008-2016
R Sharma, INDIA, RR, Right-HB, XXy, 2008-2012
R Shepherd, WEST INDIES, RR, Right-HB, XXy, 2021-Present
R Shukla, INDIA, Various Teams, Right-HB, XXy, 2008-2014
R Tewatia, INDIA, Various Teams, Left-HB, XXy, 2014-Present
R Vinay Kumar, INDIA, Various Teams, Right-HB, XXy, 2008-2019
RA Bawa, INDIA, CSK, Right-HB, XXy, 2009-2009
RA Jadeja, INDIA, Various Teams, Left-HB, XXy, 2008-Present
RA Shaikh, INDIA, RR, Left-HB, XXy, 2009-2010
RA Tripathi, INDIA, Various Teams, Right-HB, XXy, 2017-Present
RD Chahar, INDIA, CSK, Right-HB, XXy, 2018-Present
RD Gaikwad, INDIA, CSK, Right-HB, XXy, 2020-Present
RE Levi, SOUTH AFRICA, MI, Left-HB, XXy, 2012-2012
RE van der Merwe, SOUTH AFRICA, DD/DC, Left-HB, XXy, 2010-2010
RG More, INDIA, RCB, Right-HB, XXy, 2018-2018
RG Sharma, INDIA, MI, Right-HB, XXy, 2008-Present
RJ Harris, AUSTRALIA, KXIP, Right-HB, XXy, 2011-2015
RJ Peterson, SOUTH AFRICA, MI, Left-HB, XXy, 2008-2013
RJ Quiney, AUSTRALIA, RR, Left-HB, XXy, 2012-2012
RK Bhui, INDIA, SRH, Right-HB, XXy, 2014-2017
RK Singh, INDIA, DD/DC, Right-HB, XXy, 2013-2015
RM Patidar, INDIA, RCB, Right-HB, XXy, 2021-Present
RN ten Doeschate, NETHERLANDS, KKR, Right-HB, XXy, 2011-2015
RP Meredith, AUSTRALIA, RR, Right-HB, XXy, 2021-Present
RP Singh, INDIA, Various Teams, Right-HB, XXy, 2008-2017
RR Bhatkal, INDIA, RCB, Right-HB, XXy, 2011-2011
RR Bose, INDIA, KKR, Right-HB, XXy, 2008-2008
RR Pant, INDIA, DC, Left-HB, XXy, 2016-Present
RR Powar, INDIA, KXIP, Right-HB, XXy, 2008-2013
RR Raje, INDIA, RCB, Right-HB, XXy, 2008-2008
RR Rossouw, SOUTH AFRICA, RCB, Left-HB, XXy, 2014-2016
RR Sarwan, WEST INDIES, KXIP, Right-HB, XXy, 2008-2008
RS Bopara, ENGLAND, Various Teams, Right-HB, XXy, 2008-2016
RS Gavaskar, INDIA, KKR, Right-HB, XXy, 2008-2008
RS Sodhi, NEW ZEALAND, RR, Right-HB, XXy, 2018-Present
RT Ponting, AUSTRALIA, KKR, Right-HB, XXy, 2008-2013
RV Gomez, WEST INDIES, RCB, Right-HB, XXy, 2009-2009
RV Patel, INDIA, Various Teams, Right-HB, XXy, 2008-2013
RV Uthappa, INDIA, Various Teams, Right-HB, XXy, 2008-Present
RW Price, ZIMBABWE, DD/DC, Right-HB, XXy, 2008-2009
Ramandeep Singh, INDIA, DD/DC, Right-HB, XXy, 2011-2011
Rashid Khan, AFGHANISTAN, SRH, Right-HB, XXy, 2017-Present
Rasikh Salam, INDIA, MI, Right-HB, XXy, 2019-2019
Ravi Bishnoi, INDIA, PBKS, Right-HB, XXy, 2020-Present
S Anirudha, INDIA, Various Teams, Right-HB, XXy, 2008-2014
S Aravind, INDIA, RCB, Right-HB, XXy, 2008-2017
S Badree, WEST INDIES, RCB, Right-HB, XXy, 2017-2017
S Badrinath, INDIA, CSK, Right-HB, XXy, 2008-2013
S Chanderpaul, WEST INDIES, RCB, Left-HB, XXy, 2008-2008
S Dhawan, INDIA, Various Teams, Left-HB, XXy, 2008-Present
S Dube, INDIA, RCB, Left-HB, XXy, 2019-Present
S Gopal, INDIA, RR, Right-HB, XXy, 2014-Present
S Kaul, INDIA, SRH, Right-HB, XXy, 2016-Present
S Kaushik, INDIA, GL, Right-HB, XXy, 2016-2016
S Ladda, INDIA, CSK, Right-HB, XXy, 2009-2013
S Lamichhane, NEPAL, DC, Right-HB, XXy, 2018-Present
S Midhun, INDIA, RR, Right-HB, XXy, 2018-Present
S Nadeem, INDIA, DD/DC, Left-HB, XXy, 2011-Present
S Narwal, INDIA, KXIP, Right-HB, XXy, 2009-2013
S Rana, INDIA, MI, Left-HB, XXy, 2016-Present
S Randiv, SRI LANKA, CSK, Right-HB, XXy, 2011-2012
S Sandeep Warrier, INDIA, KKR, Right-HB, XXy, 2013-Present
S Sohal, INDIA, KXIP, Right-HB, XXy, 2008-2011
S Sreesanth, INDIA, RR, Right-HB, XXy, 2008-2019
S Sriram, INDIA, KKR, Left-HB, XXy, 2008-2008
S Tyagi, INDIA, RR, Right-HB, XXy, 2009-2014
S Vidyut, INDIA, CSK, Left-HB, XXy, 2008-2010
SA Abbott, SOUTH AFRICA, KXIP, Right-HB, XXy, 2014-2015
SA Asnodkar, INDIA, RR, Right-HB, XXy, 2008-2010
SA Yadav, INDIA, KKR, Right-HB, XXy, 2012-Present
SB Bangar, INDIA, KKR, Right-HB, XXy, 2008-2009
SB Jakati, INDIA, CSK, Left-HB, XXy, 2008-2015
SB Joshi, INDIA, RCB, Left-HB, XXy, 2008-2008
SB Styris, NEW ZEALAND, DC, Right-HB, XXy, 2008-2008
SB Wagh, INDIA, RR, Right-HB, XXy, 2008-2009
SC Ganguly, INDIA, KKR, Left-HB, XXy, 2008-2012
SC Kuggeleijn, NEW ZEALAND, RCB, Right-HB, XXy, 2019-2019
SD Chitnis, INDIA, MI, Right-HB, XXy, 2008-2010
SD Lad, INDIA, MI, Left-HB, XXy, 2015-2015
SE Bond, NEW ZEALAND, KKR, Right-HB, XXy, 2010-2010
SE Marsh, AUSTRALIA, KXIP, Left-HB, XXy, 2008-2016
SE Rutherford, NEW ZEALAND, RCB, Left-HB, XXy, 2015-2015
SJ Srivastava, INDIA, KXIP, Right-HB, XXy, 2008-2013
SK Raina, INDIA, CSK, Left-HB, XXy, 2008-Present
SK Trivedi, INDIA, RR, Right-HB, XXy, 2008-2013
SK Warne, AUSTRALIA, RR, Right-HB, XXy, 2008-2011
SL Malinga, SRI LANKA, MI, Right-HB, XXy, 2008-2020
SM Boland, AUSTRALIA, MI, Right-HB, XXy, 2016-2016
SM Curran, ENGLAND, KXIP, Left-HB, XXy, 2019-Present
SM Harwood, AUSTRALIA, CSK, Right-HB, XXy, 2008-2009
SM Katich, AUSTRALIA, KXIP, Left-HB, XXy, 2008-2008
SM Pollock, SOUTH AFRICA, MI, Right-HB, XXy, 2008-2008
SMSM Senanayake, SRI LANKA, KKR, Right-HB, XXy, 2013-2015
SN Khan, INDIA, KKR, Right-HB, XXy, 2008-2008
SN Thakur, INDIA, CSK, Right-HB, XXy, 2015-Present
SO Hetmyer, WEST INDIES, RCB, Left-HB, XXy, 2019-Present
SP Fleming, NEW ZEALAND, CSK, Left-HB, XXy, 2008-2012
SP Goswami, INDIA, SRH, Right-HB, XXy, 2008-2019
SP Jackson, INDIA, RCB, Right-HB, XXy, 2017-2019
SP Narine, WEST INDIES, KKR, Left-HB, XXy, 2012-Present
SPD Smith, AUSTRALIA, Various Teams, Right-HB, XXy, 2012-Present
SR Tendulkar, INDIA, MI, Right-HB, XXy, 2008-2013
SR Watson, AUSTRALIA, RR, Right-HB, XXy, 2008-Present
SS Agarwal, INDIA, KXIP, Right-HB, XXy, 2018-Present
SS Cottrell, WEST INDIES, KXIP, Left-HB, XXy, 2020-Present
SS Iyer, INDIA, DD/DC, Right-HB, XXy, 2015-Present
SS Mundhe, INDIA, RCB, Right-HB, XXy, 2014-2014
SS Prabhudessai, INDIA, RCB, Right-HB, XXy, 2011-2011
SS Sarkar, BANGLADESH, RCB, Left-HB, XXy, 2019-2019
SS Shaikh, INDIA, MI, Right-HB, XXy, 2008-2008
SS Tiwary, INDIA, MI, Right-HB, XXy, 2008-2019
ST Jayasuriya, SRI LANKA, MI, Left-HB, XXy, 2008-2010
STR Binny, INDIA, Various Teams, Right-HB, XXy, 2008-2019
SV Samson, INDIA, RR, Right-HB, XXy, 2013-Present
SW Billings, ENGLAND, Various Teams, Right-HB, XXy, 2016-Present
SW Tait, AUSTRALIA, RR, Right-HB, XXy, 2008-2017
Sachin Baby, INDIA, RCB, Left-HB, XXy, 2013-Present
Salman Butt, PAKISTAN, KKR, Left-HB, XXy, 2008-2010
Sandeep Sharma, INDIA, Various Teams, Right-HB, XXy, 2013-Present
Shahbaz Ahmed, INDIA, RCB, Left-HB, XXy, 2021-Present
Shahid Afridi, PAKISTAN, Various Teams, Right-HB, XXy, 2008-2018
Shakib Al Hasan, BANGLADESH, Various Teams, Left-HB, XXy, 2008-Present
Shashank Singh, INDIA, DD/DC, Right-HB, XXy, 2019-Present
Shivam Mavi, INDIA, KKR, Right-HB, XXy, 2018-Present
Shivam Sharma, INDIA, SRH, Right-HB, XXy, 2014-2015
Shoaib Ahmed, INDIA, DD/DC, Right-HB, XXy, 2011-2011
Shoaib Akhtar, PAKISTAN, KKR, Right-HB, XXy, 2008-2008
Shoaib Malik, PAKISTAN, Various Teams, Right-HB, XXy, 2008-Present
Shubman Gill, INDIA, KKR, Right-HB, XXy, 2018-Present
Simarjeet Singh, INDIA, RCB, Right-HB, XXy, 2021-Present
Sohail Tanvir, PAKISTAN, RR, Right-HB, XXy, 2008-2017
Sunny Gupta, INDIA, RR, Right-HB, XXy, 2011-2011
Sunny Singh, INDIA, RCB, Right-HB, XXy, 2011-2011
Swapnil Singh, INDIA, KXIP, Left-HB, XXy, 2015-2017
T Banton, ENGLAND, KKR, Right-HB, XXy, 2020-2020
T Henderson, NEW ZEALAND, RR, Right-HB, XXy, 2011-2011
T Kohli, INDIA, RCB, Right-HB, XXy, 2008-2008
T Natarajan, INDIA, SRH, Left-HB, XXy, 2017-Present
T Shamsi, SOUTH AFRICA, RCB, Left-HB, XXy, 2016-Present
T Stubbs, AUSTRALIA, KKR, Right-HB, XXy, 2010-2010
T Taibu, ZIMBABWE, KKR, Right-HB, XXy, 2008-2008
T Thushara, SRI LANKA, KXIP, Left-HB, XXy, 2008-2010
TA Boult, NEW ZEALAND, DD/DC, Right-HB, XXy, 2014-Present
TD Paine, AUSTRALIA, RR, Right-HB, XXy, 2008-2017
TG Southee, NEW ZEALAND, Various Teams, Right-HB, XXy, 2011-Present
TH David, AUSTRALIA, DD/DC, Right-HB, XXy, 2018-2018
TK Curran, ENGLAND, KKR, Left-HB, XXy, 2018-Present
TL Seifert, NEW ZEALAND, KKR, Right-HB, XXy, 2021-Present
TL Suman, INDIA, Various Teams, Left-HB, XXy, 2008-2015
TM Dilshan, SRI LANKA, DD/DC, Right-HB, XXy, 2008-2016
TM Head, AUSTRALIA, RCB, Left-HB, XXy, 2016-2016
TM Srivastava, INDIA, KXIP, Right-HB, XXy, 2008-2010
TP Sudhindra, INDIA, KXIP, Right-HB, XXy, 2011-2011
TR Birt, AUSTRALIA, RCB, Right-HB, XXy, 2009-2009
TS Mills, ENGLAND, RCB, Left-HB, XXy, 2017-2017
TU Deshpande, INDIA, DD/DC, Right-HB, XXy, 2019-2019
Tejas Baroka, INDIA, RR, Right-HB, XXy, 2020-2020
Tilak Varma, INDIA, SRH, Left-HB, XXy, 2021-Present
U Kaul, INDIA, Various Teams, Right-HB, XXy, 2008-2018
UA Birla, INDIA, RR, Left-HB, XXy, 2013-2013
UBT Chand, INDIA, KXIP, Left-HB, XXy, 2010-2015
UT Khawaja, AUSTRALIA, KXIP, Left-HB, XXy, 2016-2016
UT Yadav, INDIA, Various Teams, Right-HB, XXy, 2010-Present
Umar Gul, PAKISTAN, KKR, Right-HB, XXy, 2008-2008
Umran Malik, INDIA, KKR, Right-HB, XXy, 2021-Present
V Kohli, INDIA, RCB, Right-HB, XXy, 2008-Present
V Pratap Singh, INDIA, RR, Right-HB, XXy, 2008-2011
V Sehwag, INDIA, DD/DC, Right-HB, XXy, 2008-2015
VG Arora, INDIA, KKR, Right-HB, XXy, 2008-2009
VH Zol, INDIA, RCB, Left-HB, XXy, 2014-2014
VR Aaron, INDIA, Various Teams, Right-HB, XXy, 2012-Present
VR Iyer, INDIA, Various Teams, Right-HB, XXy, 2015-Present
VRV Singh, INDIA, RCB, Right-HB, XXy, 2008-2013
VS Malik, INDIA, Various Teams, Right-HB, XXy, 2008-2013
VS Yeligati, INDIA, RCB, Right-HB, XXy, 2010-2010
VVS Laxman, INDIA, DC, Right-HB, XXy, 2008-2012
VY Mahesh, INDIA, KKR, Right-HB, XXy, 2008-2011
Virat Singh, INDIA, SRH, Left-HB, XXy, 2021-Present
Vishnu Vinod, INDIA, RCB, Left-HB, XXy, 2017-Present
W Jaffer, INDIA, RCB, Right-HB, XXy, 2008-2008
WA Mota, INDIA, DD/DC, Right-HB, XXy, 2008-2009
WD Parnell, SOUTH AFRICA, Various Teams, Left-HB, XXy, 2010-2017
WP Saha, INDIA, Various Teams, Right-HB, XXy, 2008-Present
WPUJC Vaas, SRI LANKA, SRH, Left-HB, XXy, 2008-2008
Washington Sundar, INDIA, Various Teams, Left-HB, XXy, 2017-Present
X Thalaivan Sargunam, INDIA, KKR, Left-HB, XXy, 2012-2013
Y Gnaneswara Rao, INDIA, KXIP, Right-HB, XXy, 2008-2010
Y Nagar, INDIA, DD/DC, Right-HB, XXy, 2008-2014
Y Prithvi Raj, INDIA, KKR, Right-HB, XXy, 2019-2019
Y Venugopal Rao, INDIA, Various Teams, Right-HB, XXy, 2008-2014
YA Abdulla, SOUTH AFRICA, KKR, Left-HB, XXy, 2009-2011
YBK Jaiswal, INDIA, RR, Left-HB, XXy, 2019-Present
YK Pathan, INDIA, Various Teams, Left-HB, XXy, 2008-2017
YS Chahal, INDIA, RCB, Right-HB, XXy, 2014-Present
YV Takawale, INDIA, Various Teams, Right-HB, XXy, 2008-2014
Yash Dayal, INDIA, RR, Right-HB, XXy, 2021-Present
Yashpal Singh, INDIA, DD/DC, Right-HB, XXy, 2008-2014
Younis Khan, PAKISTAN, RR, Right-HB, XXy, 2008-2008
Yuvraj Singh, INDIA, Various Teams, Left-HB, XXy, 2008-2019
Z Khan, INDIA, Various Teams, Left-HB, XXy, 2008-2017


